iter	Passed	Remaining
0	0	85
1	1	76
2	2	72
3	2	66
4	3	65
5	4	63
6	4	62
7	5	61
8	6	61
9	6	59
10	7	58
11	8	59
12	8	59
13	9	58
14	10	57
15	10	56
16	11	55
17	12	55
18	12	54
19	13	54
20	14	53
21	14	52
22	15	51
23	16	50
24	16	49
25	17	49
26	18	48
27	18	48
28	19	47
29	19	46
30	20	45
31	21	44
32	21	44
33	22	43
34	22	42
35	23	41
36	24	40
37	24	40
38	25	39
39	25	38
40	26	38
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	33
48	31	32
49	31	31
50	32	31
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	26
57	36	26
58	36	25
59	37	24
60	38	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	44	17
71	44	17
72	45	16
73	45	16
74	46	15
75	47	14
76	47	14
77	48	13
78	48	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	53	8
86	53	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
